t (s),V (mV)
0,19.9445
0.969,19.9052
1.901,19.8739
2.89,19.8338
3.89,19.7949
4.89,19.7561
5.89,19.7192
6.89,19.6813
7.89,19.6422
8.89,19.6019
9.89,19.5637
10.89,19.5288
11.89,19.4917
12.89,19.4538
13.89,19.4163
14.89,19.3796
15.89,19.3426
16.89,19.3061
17.89,19.2693
18.89,19.2324
19.89,19.1959
20.89,19.1589
21.89,19.1221
22.89,19.0853
23.89,19.0493
24.89,19.0119
25.89,18.9749
26.89,18.939
27.89,18.9032
28.89,18.8666
29.89,18.8296
30.89,18.7922
31.89,18.7578
32.89,18.7217
33.89,18.687
34.89,18.6511
35.89,18.6157
36.89,18.5792
37.89,18.5437
38.89,18.5078
39.89,18.4718
40.89,18.4359
41.89,18.4003
42.89,18.3658
43.89,18.3303
44.89,18.2944
45.89,18.2587
46.89,18.2245
47.89,18.189
48.89,18.1544
49.89,18.1208
50.89,18.0848
51.89,18.0506
52.89,18.0188
53.89,17.9825
54.89,17.951
55.89,17.9157
56.89,17.8811
57.89,17.8479
58.89,17.816
59.89,17.7833
60.89,17.7491
61.89,17.7149
62.89,17.6841
63.89,17.6469
64.89,17.6169
65.89,17.5842
66.89,17.5499
67.89,17.5166
68.89,17.4835
69.89,17.4508
70.89,17.417
71.89,17.386
72.89,17.3534
73.89,17.3198
74.89,17.2865
75.89,17.255
76.89,17.2234
77.89,17.1916
78.89,17.162
79.89,17.1287
80.89,17.0922
81.89,17.063
82.89,17.032
83.89,16.9984
84.89,16.9686
85.89,16.9365
86.89,16.9055
87.89,16.8718
88.89,16.8434
89.89,16.812
90.89,16.7797
91.89,16.7483
92.89,16.7163
93.89,16.6863
94.89,16.6538
95.89,16.6283
96.89,16.5955
97.89,16.5633
98.89,16.5327
99.89,16.4985
100.89,16.4708
101.89,16.4401
102.89,16.4103
103.89,16.3803
104.89,16.3514
105.89,16.32
106.89,16.2901
107.89,16.258
108.89,16.2319
109.89,16.1988
110.89,16.1708
111.89,16.1388
112.89,16.1154
113.89,16.0852
114.89,16.055
115.89,16.0256
116.89,15.997
117.89,15.9665
118.89,15.937
119.89,15.9093
120.89,15.8798
121.89,15.8501
122.89,15.8216
123.89,15.7924
124.89,15.7638
125.89,15.7359
126.89,15.7067
127.89,15.6784
128.89,15.6486
129.89,15.6201
130.89,15.5917
131.89,15.5642
132.89,15.5373
133.89,15.5058
134.89,15.4767
135.89,15.4486
136.89,15.42
137.89,15.392
138.89,15.3629
139.89,15.3359
140.89,15.307
141.89,15.2798
142.89,15.2513
143.89,15.2226
144.89,15.1941
145.89,15.1652
146.89,15.1389
147.89,15.1105
148.89,15.0819
149.89,15.0536
150.89,15.0252
151.89,15.0009
152.89,14.972
153.89,14.944
154.89,14.9161
155.89,14.8872
156.89,14.8594
157.89,14.8341
158.89,14.8059
159.89,14.7788
160.89,14.7499
161.89,14.7237
162.89,14.6966
163.89,14.6705
164.89,14.6436
165.89,14.6165
166.89,14.5904
167.89,14.5644
168.89,14.5391
169.89,14.5122
170.89,14.4851
171.89,14.4589
172.89,14.4333
173.89,14.4063
174.89,14.3791
175.89,14.3525
176.89,14.3253
177.89,14.2985
178.89,14.2726
179.89,14.2466
180.89,14.2205
181.89,14.1941
182.89,14.1677
183.89,14.141
184.89,14.1167
185.89,14.0878
186.89,14.063
187.89,14.0379
188.889,14.0133
189.89,13.9878
190.89,13.9628
191.89,13.9361
192.89,13.9116
193.89,13.8855
194.89,13.8602
195.89,13.8359
196.89,13.8096
197.89,13.7849
198.89,13.7606
199.89,13.7358
200.89,13.7107
201.89,13.6836
202.89,13.6586
203.89,13.6345
204.89,13.6096
205.89,13.5845
206.89,13.5596
207.89,13.5344
208.89,13.5096
209.89,13.4857
210.89,13.4604
211.89,13.4358
212.89,13.411
213.89,13.3859
214.89,13.361
215.89,13.3378
216.89,13.3144
217.89,13.2898
218.89,13.2648
219.89,13.2418
220.89,13.2172
221.89,13.1926
222.89,13.1682
223.89,13.1454
224.89,13.1211
225.89,13.0962
226.89,13.0721
227.89,13.0488
228.89,13.0244
229.89,13.0015
230.89,12.9771
231.89,12.9532
232.89,12.9304
233.89,12.906
234.89,12.883
235.89,12.8597
236.89,12.8372
237.89,12.8146
238.89,12.7911
239.89,12.7679
240.89,12.7447
241.89,12.72
242.89,12.6972
243.89,12.6716
244.89,12.652
245.89,12.6274
246.89,12.6037
247.89,12.5806
248.89,12.5573
249.89,12.5337
250.89,12.511
251.89,12.488
252.89,12.4653
253.89,12.4445
254.89,12.4224
255.89,12.4012
256.89,12.3793
257.89,12.3544
258.89,12.3297
259.89,12.311
260.89,12.2896
261.89,12.2677
262.89,12.2447
263.89,12.2226
264.89,12.2013
265.89,12.1787
266.89,12.1565
267.89,12.135
268.89,12.1136
269.89,12.0921
270.89,12.0699
271.89,12.0486
272.89,12.0279
273.89,12.006
274.89,11.9848
275.89,11.9608
276.89,11.9389
277.89,11.9169
278.89,11.8972
279.89,11.8757
280.89,11.8538
281.89,11.8322
282.89,11.8106
283.89,11.79
284.89,11.7683
285.89,11.7461
286.89,11.7251
287.89,11.7032
288.89,11.6821
289.89,11.6606
290.89,11.639
291.89,11.6184
292.89,11.5967
293.89,11.5758
294.89,11.5552
295.89,11.5337
296.89,11.5135
297.89,11.4915
298.89,11.4701
299.89,11.4499
