t (s),V (mV)
0,19.9348
1,19.9087
2,19.8799
3,19.8528
4.001,19.8265
5,19.8001
6,19.7747
7,19.7477
8,19.7182
9,19.6966
10,19.6691
11,19.6419
12.001,19.6166
13,19.5905
14,19.5659
15,19.5362
16,19.5112
17.001,19.4853
18,19.4609
19,19.4341
20,19.4081
21.001,19.3835
22,19.3579
23,19.3295
24,19.3045
25.001,19.2793
26,19.2542
27,19.2286
28,19.2043
29,19.1787
30,19.1524
31,19.1275
32,19.1025
33.001,19.0825
34,19.0545
35,19.0281
36,19.0068
37,18.98
38,18.956
39,18.9332
40,18.9067
41,18.8825
42,18.8569
43,18.8334
44,18.8093
45,18.7851
46,18.762
47,18.7366
48,18.714
49,18.6903
50,18.6661
51,18.6411
52,18.6197
53,18.5931
54,18.57
55,18.5444
56,18.5245
57.001,18.4983
58.001,18.4757
59,18.4524
60,18.4276
61,18.4045
62,18.3809
63,18.358
64,18.3343
65,18.3118
66,18.2888
67,18.2668
68,18.2428
69.001,18.2207
70,18.1977
71,18.1745
72,18.152
73,18.1292
74,18.1062
75,18.0835
76,18.062
77,18.0393
78,18.0166
79,17.9951
80,17.9731
81,17.9517
82,17.9269
83,17.9053
84,17.8831
85,17.861
86,17.8387
87,17.817
88,17.7935
89,17.7721
90,17.7499
91,17.7257
92,17.7033
93,17.6824
94,17.6608
95,17.6392
96,17.6183
97,17.5964
98,17.5788
99,17.5559
100,17.5311
101,17.5105
102,17.4901
103,17.4678
104,17.4496
105,17.4265
106,17.4079
107,17.3867
108,17.3629
109,17.3858
110,17.3632
111,17.3191
112,17.2871
113,17.2645
114,17.2412
115,17.2214
115.999,17.2004
117,17.1796
118,17.1583
119,17.1375
120,17.1211
121.001,17.0978
122.001,17.0791
123,17.0591
124,17.0394
125,17.0194
126,16.9992
127,16.9801
128,16.9601
129,16.9399
130,16.9188
131,16.8978
132,16.8767
133,16.8566
134,16.8361
135,16.8174
136,16.7937
137,16.7754
138,16.7565
139,16.7359
140,16.7167
141.001,16.6963
142.001,16.6778
143,16.6561
144,16.6371
145,16.6199
146,16.6013
147,16.5799
148,16.5598
149,16.541
150,16.5191
151,16.4996
152,16.4785
153,16.4597
154,16.441
155,16.4218
156,16.4003
157,16.3776
158,16.3613
159,16.3419
160,16.3249
161,16.3038
162,16.2854
163,16.2674
164,16.2469
165,16.2306
166.001,16.2095
167.001,16.1872
168,16.1682
169,16.1517
170,16.132
171,16.1151
172,16.0951
173,16.078
174,16.0581
175,16.0402
176,16.0212
177,16.0024
178,15.984
179,15.9651
180,15.9462
181.001,15.9265
182,15.9095
183,15.8901
184,15.871
185,15.8523
186,15.8342
187,15.8138
188,15.7966
189,15.7772
190,15.7585
191,15.7391
192,15.7203
193,15.7012
194.001,15.6848
195,15.6651
196,15.6477
197,15.6289
198,15.611
199,15.5926
200,15.5757
201,15.5537
202,15.5371
203,15.519
204,15.501
205,15.4829
206,15.463
207,15.4433
208,15.4248
209,15.4069
210,15.3874
211,15.3696
212,15.3547
213,15.3356
214,15.3167
215,15.2973
216,15.2795
217,15.2606
218,15.243
219,15.2247
220,15.2068
221,15.1897
222,15.1721
223,15.1543
224,15.1363
225,15.12
226,15.1034
227,15.0848
228,15.0681
229,15.0495
230,15.0328
231,15.0139
232.002,15.0005
233,14.9815
234,14.9622
234.999,14.9441
236,14.9257
237,14.9088
238,14.8902
239,14.8723
240,14.8541
241,14.8356
242,14.8185
243,14.8002
244,14.7816
245,14.7647
246,14.7491
247,14.7304
248,14.7133
249.001,14.6966
250,14.679
251,14.6612
252,14.6452
253,14.6279
253.999,14.6103
255,14.5935
256,14.573
257,14.5572
258,14.5391
259,14.5231
260,14.5072
261,14.4893
262,14.4729
263,14.4546
264,14.4359
265,14.4204
266,14.403
267,14.3851
268,14.3683
269,14.3481
270,14.3338
271,14.3176
272,14.3012
273,14.2858
274,14.2683
275,14.2514
276,14.2353
277,14.218
278,14.2011
279,14.1849
280,14.1679
281,14.1519
282,14.1341
283,14.1186
284,14.1006
