t (s),V (mV)
0,13.3064
1.049,13.2611
2.049,13.2153
3.049,13.1592
4.049,13.0974
5.05,13.0544
6.055,13.0076
7.049,12.9412
8.055,12.8896
9.049,12.8394
10.049,12.7683
11.049,12.7155
12.049,12.6649
13.049,12.6228
14.049,12.5542
15.049,12.4991
16.05,12.4349
17.049,12.4132
18.049,12.3288
19.049,12.2888
20.049,12.2457
21.049,12.1811
22.049,12.1302
23.049,12.101
24.049,12.0348
25.049,11.9435
26.049,11.914
27.05,11.8591
28.05,11.8232
29.049,11.7742
30.05,11.742
31.049,11.6842
32.054,11.6388
33.049,11.5779
34.049,11.5084
35.049,11.4705
36.05,11.4194
37.05,11.3779
38.054,11.3376
39.049,11.2946
40.05,11.239
41.05,11.1801
42.049,11.1316
43.049,11.0811
44.049,11.0315
45.05,10.9855
46.049,10.9368
47.049,10.8956
48.049,10.8417
49.049,10.7958
50.05,10.7604
51.05,10.716
52.049,10.6673
53.049,10.6213
54.048,10.5784
55.048,10.5258
56.048,10.5001
57.048,10.4291
58.048,10.3959
59.048,10.3569
60.048,10.2947
61.048,10.2721
62.048,10.2255
63.049,10.1688
64.048,10.1427
65.048,10.0809
66.048,10.0427
67.049,10.0039
68.049,9.9668
69.049,9.9159
70.05,9.8771
71.049,9.8289
72.05,9.7849
73.049,9.7406
74.049,9.7007
75.049,9.6721
76.049,9.6324
77.05,9.5801
78.049,9.527
79.049,9.4952
80.049,9.453
81.049,9.42
82.049,9.3751
83.05,9.3252
84.049,9.2873
85.049,9.2391
86.054,9.189
87.049,9.1493
88.049,9.1064
89.049,9.0788
90.049,9.0472
91.049,9.0191
92.049,8.9693
93.049,8.9351
94.049,8.8968
95.05,8.8439
96.05,8.7984
97.049,8.7765
98.054,8.7311
99.049,8.6773
100.049,8.6477
101.049,8.6102
102.049,8.5697
103.049,8.5331
104.05,8.4417
105.049,8.4051
106.05,8.3122
107.049,8.3067
108.049,8.2694
109.049,8.1975
110.05,8.1323
111.05,8.0803
112.049,8.0664
113.05,8.0957
114.049,8.0085
115.05,7.9475
116.049,7.928
117.049,7.9304
118.049,7.8485
119.05,7.8046
120.049,7.8649
121.049,7.7205
122.054,7.6962
123.049,7.6657
124.049,7.6965
125.049,7.7003
126.049,7.6004
127.049,7.6174
128.049,7.5591
129.05,7.5615
130.049,7.4837
131.049,7.4695
132.049,7.4368
133.049,7.394
134.05,7.3852
135.049,7.313
136.05,7.3182
137.049,7.3187
138.049,7.3009
139.049,7.1693
140.049,7.1719
141.049,7.1883
142.049,7.1933
143.049,7.1
144.049,7.0114
145.049,7.0893
146.054,7.0479
147.05,7.0373
