t (s),V (mV)
0,13.7181
1.001,13.6825
2,13.6288
3.001,13.5976
4,13.5264
5.001,13.5057
6,13.4507
7,13.3907
8,13.3451
9,13.3036
10,13.2949
11.001,13.2493
12.001,13.2371
13,13.1797
14,13.1183
15,13.073
16,13.0563
17.001,12.9889
18,12.9691
19,12.9276
20,12.8834
21,12.8763
22.001,12.8255
23,12.8684
24,12.8171
25,12.7851
26.001,12.7608
27,12.6358
28,12.5526
29.001,12.5264
30,12.4897
31,12.3981
32,12.3859
33,12.3344
34,12.3481
35.001,12.262
36,12.2383
37.001,12.203
38,12.1595
39.001,12.1261
40,12.0712
41.001,11.9949
42,12.0014
43,11.9394
44,12.0469
45,11.8567
46,11.8488
47,11.7988
48,11.7807
49,11.7015
50.001,11.675
51,11.6498
52.001,11.6228
53,11.5927
54,11.5585
55.001,11.4903
56,11.4707
57.001,11.432
58.001,11.408
59.001,11.368
60,11.3229
61,11.2909
62,11.2433
63,11.2322
64,11.1797
65,11.1467
66,11.1184
67,11.0957
68,11.1332
69,11.0674
70.001,11.0343
71,10.9946
72,11.0029
73.001,10.9488
74,10.9213
75.001,10.8976
76,10.8584
77.001,10.8344
78,10.7895
79,10.7398
80,10.7207
81.001,10.6775
82,10.6345
83,10.5777
83.999,10.5279
84.999,10.5318
86,10.4733
86.999,10.4835
88,10.4416
88.999,10.4541
89.999,10.4566
90.999,10.3553
91.999,10.3833
92.999,10.4289
93.999,10.4012
94.999,10.3545
95.999,10.326
96.999,10.2879
98,10.2534
98.999,10.236
99.999,10.0439
100.999,10.0603
101.999,10.0374
103,9.9253
104,9.9293
105,9.9027
106.001,9.8609
107,9.8396
108,9.8735
109,9.8205
110,9.9134
111,9.8825
112,9.8493
113,9.8285
114,9.8059
115,9.7692
116,9.7532
117,9.71
118,9.6806
119,9.605
120.001,9.5631
121,9.5398
122,9.5028
123,9.4659
124,9.4456
125.001,9.4214
126,9.372
127.001,9.3077
128,9.2886
129,9.2588
130,9.2515
131,9.2592
132.001,9.2174
133,9.1615
134,9.0932
135,9.0784
136,9.0316
137.001,9.0188
138,9.0222
139,8.9835
140,8.9826
141,8.9399
142,8.8699
143,8.9088
144.001,8.8759
145,8.8638
146,8.8461
147,8.8002
148,8.8079
149,8.8054
150,8.7716
151,8.7257
152,8.6882
153,8.6662
154,8.6674
155,8.6301
156.001,8.6023
157,8.5171
158,8.5375
159.001,8.478
160.001,8.5024
161.001,8.4382
162,8.4574
163,8.448
164,8.4136
165.001,8.3595
166,8.3648
167,8.3472
168.001,8.2775
169,8.2691
170,8.2097
171.001,8.2523
172,8.1153
173,8.1109
174,8.0574
175,8.02
176,8.004
177,7.9983
178,7.9806
179.001,7.8992
180,7.9076
181,7.9224
182,7.9008
183,7.8612
184,7.8463
185,7.8121
186,7.8158
187.001,7.7826
188,7.7554
189.001,7.7466
190,7.7022
191,7.6703
192,7.613
193,7.6009
194,7.6265
195,7.5479
196,7.5255
197.001,7.5117
198,7.496
199,7.4775
200,7.4815
201,7.4478
202,7.4352
203,7.4046
204,7.3614
205,7.362
206,7.332
207,7.2863
208,7.2608
209,7.241
210.001,7.2515
211,7.2212
212,7.3336
213,7.3117
214,7.3007
215,7.1332
216.001,7.1145
217.001,7.1112
218,7.0922
219,7.046
220,7.0195
221.001,7.0064
222,6.9905
223.001,6.9656
224.001,6.9647
225,6.951
226,6.9187
227.001,7.0352
228,6.8446
229,6.7962
230.001,6.782
231,6.7754
232.001,6.7729
233,6.6986
234.001,6.7284
235,6.6776
236,6.6888
237,6.6217
238,6.6313
239,6.6121
240.001,6.5944
241,6.5775
242,6.5809
243.001,6.6271
244,6.6651
245,6.6571
246,6.6272
247,6.6098
248,6.5812
249,6.5598
250,6.5522
251,6.5293
252.001,6.5147
253,6.4142
254,6.4108
255,6.3727
256,6.3763
257,6.3241
258,6.3091
259,6.3114
260,6.2706
261,6.2793
262,6.2591
263.001,6.2254
264,6.282
265,6.2059
266,6.15
267,6.1031
268,6.1405
269,6.1369
270,6.0893
271.001,6.0486
272,6.0702
273,6.0291
